Prices and Volumes

;;Thu, 09/04;Fri, 09/05;Sat, 09/06;Sun, 09/07;Mon, 09/08;Tue, 09/09;Wed, 09/10
Prices (EUR/MWh);;101,50;89,69;84,93;54,06;111,64;122.12;111.45
Volume (MWh);;85 528,10;91 545,60;75 844,40;74 152,60;82 421,20;81 487.10;85 830.60;

Block Products

;;Thu, 09/04;Fri, 09/05;Sat, 09/06;Sun, 09/07;Mon, 09/08;Tue, 09/09;Wed, 09/10
Base (01-24);;101,50;89,69;84,93;54,06;111,64;122.12;111.45
Peak (9-20);;87,28;68,20;52,90;17,76;93,27;103.38;103.49
Off-Peak
(1-8 & 21-24);;115,72;111,18;116,95;90,37;130,00;140.86;119.42


Hourly Products;
;--;Thu, 09/04;Fri, 09/05;Sat, 09/06;Sun, 09/07;Mon, 09/08;Tue, 09/09;Wed, 09/10
0 -- 1;EUR/MWh;101,38;98,23;102,67;86,01;87,38;108,3;100,11
 ;MWh;2814.7;2857,5;2820;2914,9;3117,9;2996,1;3340,2
1 -- 2;EUR/MWh;97,29;85,91;102,96;78,93;87,5;104,39;96,14
 ;MWh;2684.7;2792,7;2729,4;3203,5;3077,8;3087,5;3422,3
2 -- 3;EUR/MWh;88,2;83,29;102,81;75;86,84;103,18;94,17
 ;MWh;2762.7;2744,5;2439,8;3291,5;2922,5;2704,1;3209,8
3 -- 4;EUR/MWh;83,79;82,38;102,1;77,44;86,97;102,54;94,55
 ;MWh;2834.7;2941,2;2635,2;3050,4;2726,1;2496,1;2884,3
4 -- 5;EUR/MWh;79,97;82,4;101,2;76,98;88,54;102,5;93,78
 ;MWh;2881.4;2991,7;2957,4;2986,5;2585,3;2574,6;3052,9
5 -- 6;EUR/MWh;97,67;94,54;102,03;76,77;100,45;110,44;102,19
 ;MWh;2960.9;3001,8;2800,9;3078,2;2655,7;2741,5;3375,4
6 -- 7;EUR/MWh;119,17;115,23;96,25;75,38;128,69;182,87;130,39
 ;MWh;3139.4;3460,7;2385;2732,4;2691,6;2668,4;3545,1
7 -- 8;EUR/MWh;120,65;128,27;94,21;51,8;146,09;216,16;210,33
 ;MWh;3939.8;4319,9;3225,9;2377,2;2825,6;3454,6;3058,4
8 -- 9;EUR/MWh;107,72;78;77,4;0;61,93;88,23;100,95
 ;MWh;4102.9;4556,6;3773,6;3808,5;3703,4;3791,9;3897,9
9 -- 10;EUR/MWh;74,91;12,78;12,78;-0,09;12,77;58,73;57,01
 ;MWh;4486.8;4877,7;4111;2893,3;4020,5;3827,4;3739,9
10 -- 11;EUR/MWh;39,5;12,78;11,92;-4;11,91;20,02;67
 ;MWh;4643.5;5007,5;4038,1;2909,4;4410;4168,7;4242,8
11 -- 12;EUR/MWh;5,79;12,88;0;-20,09;13,62;13,63;41
 ;MWh;3889.4;5071,7;3103,3;3488,6;4649;4209,1;4280,6
12 -- 13;EUR/MWh;3,2;13,62;-0,02;-40,02;15,08;12,78;51,69
 ;MWh;4146.9;5032,2;3229,1;3524,9;4693,1;4266,9;4274,2
13 -- 14;EUR/MWh;3,22;13,63;-0,86;-53,4;40;16;56,42
 ;MWh;4227.6;5051,5;3601,1;3598,8;4679,5;4164,3;4266,3
14 -- 15;EUR/MWh;32,1;16;-0,99;-20,01;55;55;56,68
 ;MWh;3810.7;5107;3604,3;3754,3;4443,3;4299,4;4135,3
15 -- 16;EUR/MWh;65,18;72,66;-0,01;-3;81,38;78,83;93,77
 ;MWh;3570.9;4744,8;3661,5;4083,3;3812,7;3785,8;3894,4
16 -- 17;EUR/MWh;94,15;96,75;46,01;0,01;103,2;108,3;115,27
 ;MWh;3689.7;4270,9;3410,1;3315;3558,5;3164,7;2784
17 -- 18;EUR/MWh;126,54;129,17;119,96;95,4;136,03;153,3;145,01
 ;MWh;3070.1;3273,3;2769,5;2644,5;2708;3221,1;3777,1
18 -- 19;EUR/MWh;178,63;167,37;178,64;111,22;220,44;243,63;184,21
 ;MWh;3560.1;2796,9;2777,7;2643,2;2524,9;3540,3;3438,9
19 -- 20;EUR/MWh;316,41;192,79;190,01;147,08;367,9;392,05;272,86
 ;MWh;4362.8;3225,5;3291,1;3103,4;3660,4;3056,4;2950,9
20 -- 21;EUR/MWh;241,63;166,17;177,21;143,14;311,98;241,83;174,25
 ;MWh;4357.1;3275,1;3098,1;3119,3;3769,3;3076,4;2966,1
21 -- 22;EUR/MWh;132,69;139,98;178,89;131,65;148,52;151;134,85
 ;MWh;3603.4;3196,6;2683,3;2198,9;2797,7;3260,2;3449
22 -- 23;EUR/MWh;118,36;146,01;150;115,72;150,89;137,83;108,45
 ;MWh;3053.2;3394,6;3194,1;2580,1;3166,7;3451,4;3859,6
23 -- 24;EUR/MWh;107,87;111,7;93,07;95,58;136,13;129,25;93,77
 ;MWh;2934.7;3553,7;3504,9;2852,5;3221,7;3480,2;3985,2
